CID,Date of Last Certification,Brand,Product,Model Number,Category,Hardware Version,Firmware Version,Operating System,Frequency Band(s),2.4 GHz Spectrum Capabilities,5 GHz Spectrum Capabilities,6 GHz Spectrum Capabilities,Additional Features,CWG-RF,Miracast®,Passpoint®,Protected Management Frames,Spectrum & Regulatory,Sub-1 GHz Spectrum Capabilities,TDLS,Voice-Enterprise,Wi-Fi Aware™,Wi-Fi Agile Multiband™,Wi-Fi CERTIFIED 7™,Wi-Fi CERTIFIED HaLow™,Wi-Fi CERTIFIED WiGig™,Wi-Fi CERTIFIED 6®,Wi-Fi CERTIFIED™ a,Wi-Fi CERTIFIED™ ac,Wi-Fi CERTIFIED™ b,Wi-Fi CERTIFIED™ g,Wi-Fi CERTIFIED™ n,Wi-Fi Data Elements™,Wi-Fi Easy Connect™,Wi-Fi EasyMesh™,Wi-Fi Home Design™,Wi-Fi Location™,Wi-Fi Optimized Connectivity™,Wi-Fi Protected Setup™,Wi-Fi Enhanced Open™,Wi-Fi QoS Management™,Wi-Fi Vantage™,WMM®,WMM®-Admission Control,WMM®-Power Save,WPA2™-Enterprise,WPA2™-Personal,Wi-Fi Direct®,WPA3™-Enterprise,WPA3™-Personal
WFA132388,2024-08-29,Samsung Electronics,SM-W9025,SM-W9025,Phones,PCIe; PCIe,,Android 14.0; Android 14.0,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA132385,2024-09-04,Sony Interactive Entertainment Inc.,PlayStation®5 Pro,CFI-xxxxx,"Gaming, Media & Music",PCIe Gen1,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA132355,2024-08-28,ZTE Corporation,Wireless Router,ZXHN H6745,Routers,IPQ9570 SOC; QCN6224/QCN6224:PCI-e,,Linux5.4; Linux5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA131717,2024-08-28,Samsung Electronics,SM-F958N,SM-F958N,Phones,PCIe; PCIe,,Android 14.0; Android 14.0,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WFA132309,2024-08-22,Nokia Corporation,Fastmile 5G Gateway 7,5G30-03W-B,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA132294,2024-11-11,Vantiva,FGA232A,FGA232A,Routers,PCIe,,Linux 4.19; Linux 4.19,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132292,2024-08-19,ZTE Corporation,Wireless Router,ZXHN F6746G,Routers,IPQ9570 SOC; QCN6224/QCN6224:PCI-e,,Linux5.4; Linux5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA132283,2024-08-19,"ZOWEE TECHNOLOGY(HEYUAN) CO., LTD.",5G CPE,H165-383,Routers,IQ,,Linux,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA130519,2024-08-15,Askey Computer Corporation,Askey RTM-7000T,RTM-7000T,Routers,PCIe 3.0,,Linux; Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA132219,2024-08-09,Orange,Livebox LB7,PRV36BE347B-H1-LT,Routers,2.4G: PCIe; 5G: PCIe,,Linux 4.19.294; Linux 4.19.294,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
